timestamp,ID,Question
09/10/19 16:10,2345,abcdefg
09/10/19 14:48,16433213,"(a) whether the Government have decided to provide text books free of cost to all the female students upto the primary level;  (b) if so, the details thereof;  (c) whether girls studying in the Government aided schools or in recognized schools have also been included under the said scheme;  (d) if so, the detail thereof; end  (e) the criteria laid down in this regard?"
09/10/19 14:48,14067014,"(a) whether sale of emergency contraceptive pills has been permitted over the counter;  (b) if so, the reasons therefor ;  (c) whether any study has been conducted relating to its safety aspect; and  (d) if so, the measures being taken to popularize the contraceptive pills among the women particularly in rural areas?"
09/10/19 14:48,14252116,"(a) whether the Government is implementing/proposes to implement any scheme for imparting self defence training to women and girls in the country;  (b) if so, the details thereof along with the salient features of the scheme; and  (c) the other steps taken/being taken by the Government in this direction?"
09/10/19 14:48,10778314,"   (a) whether the Union Government has any proposal to set up hospitals and health sub-centres in the Central Sector exclusively for women patients during the Eleventh Plan;  (b) if so, the details thereof;  (c) the States where these hospitals are proposed to be set up location-wise;  (d) the steps taken by the Union Government in this regard; and  (e) the time by which these hospitals are likely to be set up in the country?    "
09/10/19 14:48,14282214,".  (a) whether shortage of Anesthetists has been identified as one of the major causes of high maternal mortality rate (MMR) in the country;  (b) if so, the efforts being made by the Government to overcome the shortage of Anesthetists;  (c) whether there is any proposal with the Government for training the doctors in administering anesthesia in difficult deliveries, trauma cases, etc.; and  (d) if so, the details thereof ?"
09/10/19 14:48,15497213,"(a) the details of foreign assistance received under Reproductive and Child Health Programme during the last three years; and  (b) the number of women and children benefited under the RCH Programme during the last three years, State-wise?"
09/10/19 14:48,12742616,"Will the Minister of WOMEN AND CHILD DEVELOPMENT be pleased to state;  (a) the details of the work carried out or cases handled through Central Adoption Resource Authority (CARA) during the last three years and the current year; (b) whether the Government has made any assessment of works carried out by the CARA; (c) if so, the details and the outcome thereof; and (d) the further measures taken by the Government to improve its functioning?"
09/10/19 14:48,17115813,"(a) Whether the Government propose to launch an extensive Vocational Training Scheme for workers in Bihar with the aid of World Bank;  (b) if so, the details thereof;  (c) whether there is a scheme to start new industrial training institutes for women under this project;  (d) the number of training institutes set up under this scheme in Bihar, location-wise;  (e) whether the Government propose to explore the possibility of opening industrial training institutes for women in Bihar;  (f) the time by which the said scheme is likely to be implemented; and (g) if not, the reasons therefor?"
09/10/19 14:48,10480214,"(a) the norms prescribed for providing assistance to voluntary organizations engaged in the various welfare schemes for women and children;  (b) the details of funds released by the Union Government to the above organizations during the last three years, State-wise and UT-wise;  (c) the details of funds utilized by these organizations during the said period, scheme- wise,State-wise, UT-wise;  (d) whether the Government is monitoring/auditing such assisted organizations; and  (e) if so, the findings thereof?"
09/10/19 14:48,16439914,"(a) the percentage of under nourished children covered under the Integrated Child Development Services (ICDS) as on date;  (b) whether one of the important programmes of Integrated Child Development meant for children below the age of six, adolescent girls and pregnant women have not been implemented by the Government;  (c) whether it is also a fact that the Supreme Court in order of November 2003 has directed the Central and State Government to furnish the reasons for non-implementation of the Scheme; and  (d) if so, the reaction of the Government thereupon?"
09/10/19 14:48,15216716,"(a) whether the Government has launched awareness programmes/ schemes about sexual offences to curb growing atrocities on women, dalits and children in the country;  (b) if so, the details thereof along with the steps taken/being taken by the Government to further intensify such programmes/schemes;  (c) whether the Government has taken note of the growing atrocities on women, dalits and children in some of the States/UTs of the country including Uttar Pradesh, Haryana and Delhi in the recent years;  (d) if so, the details thereof and the reasons therefor; and  (e) the corrective steps taken/being taken by the Government in this regard?"
09/10/19 14:48,14162413,"(a) whether the Government propose to formulate a special scheme called _ÑÕ_ÕSwadhar_ÑÕ_ë which focuses only on providing shelter and various other basic amenities to women;  (b) if so, the details thereof; and  (c) the funding pattern of the proposed scheme?"
09/10/19 14:48,14991415,"(a) the National Commission for Women (NCW) has sought opinions from State Governments regarding increasing cases of rape;  (b) if so, the details thereof;  (c) whether some State Governments have not responded to the NCW in this regard; and  (d) if so, the details thereof alongwith the action taken by the Union Government?"
09/10/19 14:48,11571716,"a) whether the Government has conducted any study or analysis to evaluate impact of womenÈs reservation policy in the Panchayati Raj Institutions, if so, the details thereof along with the key recommendations made thereon; b) whether the Government has received any complaints regarding harassment of women candidates in local elections, if so, the details thereof; c) whether the Government has taken an initiative to reward women who have made remarkable contribution as representatives of local governance bodies, if so, the details thereof; and d) whether there is a training program especially for women representatives after getting elected, to introduce them to the governance system, if so, the details thereof and if not, the reason therefor?"
09/10/19 14:48,10291815,"(a) whether the Government has received recommendations from the National Commission for Women and the Supreme Court regarding crime against women and children; and  (b) if so, the details thereof and the response of the Government thereon?"
09/10/19 14:48,10733215,"(a) whether the Union Government has taken cognisance of the increasing number of women in naxalite cadres;  (b) if so, the details thereof and the reaction of the Union Government thereto;  (c) whether the Union Government is contemplating to initiate talks with the naxalites through the State Governments to abjure violence;  (d) if so, the details thereof; and  (e) whether there is any proposal to provide adequate security cover to Members of Parliament belonging to/representing the Left Wing Extremism affected areas and if so, the details thereof?"
